source,gpu,price_aud,recommended_action,llm_index_score,title_or_model
shortlist_historical,RTX 5090,7324.68,SHORTLIST,71,Razer Blade 18 Ultra 9 275HX RTX 5090 64GB 4TB UHD 240Hz/FHD 440Hz Gaming Laptop
shortlist_historical,RTX PRO 2000,,MANUAL_REVIEW,0,Dell Pro Max 16 Plus Ultra 7 265HX RTX PRO 2000 64GB 1TB 4K OLED Touch Laptop
shortlist_historical,RTX A4500,3545.66,SHORTLIST,43,Dell Precision 7670 Workstation i9 64GB RTX A4500 1.5TB 4K Touch Win 11 Pro AI
shortlist_historical,Quadro RTX 5000,2196.06,SHORTLIST,34,Dell Precision 7550 Laptop: i7-10850H 32GB RAM 1TB SSD Quadro RTX 5000 Warranty
shortlist_historical,RTX 3000,6439.88,MANUAL_REVIEW,0,"Dell Pro Max 18 Plus Laptop: Ultra 9 285HX, 64GB RAM, 1TB SSD, RTX 3000 Warranty"
shortlist_historical,RTX 4090,3656.59,SHORTLIST,51,"Acer Predator Helios 18” Gaming Laptop, 250Hz, RTX 4090, I9-14900HX, 32GB, 1TB"
shortlist_historical,RTX 4090,3974.54,SHORTLIST,51,"AORUS 17X AZF 17.3"" 2560x1440 240Hz i9-13950HX 32GB 2TB SSD RTX 4090 W11H"
shortlist_historical,RTX 3080 Ti,2068.47,SHORTLIST,43,"Dell Precision 7670 16"" i9-12950HX RTX 3080 Ti 16GB 64GB RAM 512GB SSD Win11 Pro"
shortlist_historical,RTX 3080 Ti,1695.17,SHORTLIST,43,"Dell Precision 7670 16"" i9-12950HX RTX 3080 Ti 16GB 8GB RAM 512GB SSD Win11 Pro"
shortlist_historical,RTX 4090,3999.0,SHORTLIST,51,"Acer Predator  PH18-72 Intel i9-14900HX 32Gb RAM 1TB SSD 16Gb RTX4090 18"" 250Hz"
shortlist_historical,RTX A5000,3344.95,SHORTLIST,46,ThinkPad P15 Gen 2 i9 5.0GHz RTX A5000 4K UHD HDR 600Nits 64GB 2TB Premier+ADP
shortlist_historical,RTX 3000A,2202.35,MANUAL_REVIEW,1,"HP ZBook Fury 16 G9 16"" 12th Gen i7/i9 16/64GB RAM 256/1TB SSD RTX3000A GPU, G"
shortlist_historical,RTX 5090,5799.0,SHORTLIST,71,"HyperX OMEN MAX Gaming Laptop 16"" 2.5K OLED Ultra 9 290HX 32GB 1TB SSD RTX5090"
shortlist_historical,RTX 5080,4249.0,SHORTLIST,56,"HP OMEN MAX Gaming Laptop 16""WQXGA AI 9 HX 375 32GB 1TBSSD RTX5080"
shortlist_historical,RTX 4090,,MANUAL_REVIEW,42,ROG Strix RTX 4090 18inch Laptop
shortlist_historical,RTX 5090,,SHORTLIST,71,MSI Stealth A18 HX AI+ GeForce Ultra 9 64G 2TB RTX 5090 Win 11 Pro (Like New!!)
shortlist_historical,RTX 4090,,SHORTLIST,51,Acer Predator Triton 17 X QHD+ 2.2GHz i9-13900HX 64GB 2TB SSD RTX 4090 Very Good
shortlist_historical,RTX 4080,,MANUAL_REVIEW,41,Acer Predator Helios 18 i9-14900HX 2.2GHz 64GB RAM 1TB SSD GeForce RTX 4080
shortlist_historical,RTX,2140.04,MANUAL_REVIEW,0,"Lenovo ThinkPad P15 Gen 1 15.6"" 4K OLED Touch Xeon W-10885M 64GB RAM 2TB SSD RTX"
shortlist_historical,Quadro RTX 3000,,SKIP,1,Lenovo ThinkPad P17 Gen 1 4K i9-10885H 2.40GHz 32GB 1TB SSD Quadro RTX 3000
shortlist_historical,—,,MANUAL_REVIEW,78,"Asus Rog Flow Z13 GZ302EA Ryzen AI MAX+ 395 32GB RAM 1TB SSD 13.4"" 2.5K Touch"
shortlist_historical,—,802.0,SKIP,0,"Dell Precision 7760 Intel i5 11500H 2.90GHz 32GB RAM 256GB SSD 17.3"" Win 11 - B"
shortlist_historical,RTX A4000,1976.3,SHORTLIST,26,"Dell Precision 7560 15"" Touch FHD Core Xenon 10th1.5 TB SSD 64GB 16 GB RTX A4000"
shortlist_historical,RTX 3080 Ti,3172.77,MANUAL_REVIEW,34,ROG Zephyrus Duo GX650RX 3080ti 4K
shortlist_historical,RTX 4080,3664.99,MANUAL_REVIEW,41,"ASUS ROG Strix SCAR 16"" QHD 240Hz Gaming Laptop i9-13980HX 32GB 1TB SSD RTX 4080"
shortlist_historical,—,4799.0,MANUAL_REVIEW,0,"HP ZBook Power 16 G11 Workstation 16"" WUXGA Touch Ultra 9 185H 64GB RAM 2TB SSD"
shortlist_historical,RTX 5090,5205.52,SHORTLIST,71,"Gigabyte Aorus Master 18"" U9 275HX RTX 5090 32GB 2TB QHD 240Hz Mini LED Laptop"
shortlist_historical,RTX 3070 Ti,2311.2,SKIP,16,"ASUS ROG ZEPHYRUS DUO 16.0"" LAPTOP RYZEN 7 6800H 3.20GHz RTX-3070Ti 32GB 512GB"
shortlist_historical,RTX 5080,4227.5,SHORTLIST,56,"Asus ROG G635LW Strix Scar 16 Ultra 9 275HX 32GB RAM 1TB SSD RTX5080 16"" 2.5K"
shortlist_historical,—,1200.0,MANUAL_REVIEW,20,Dell Precision 7750 Laptop 17.3” 32GB RAM |  1 TB SSD | 16GB GPU
shortlist_historical,RTX 4090,3469.7,SHORTLIST,51,MSI Raider GE78HX i9 13980HX RTX 4090 32GB 2TB QHD 240Hz Gaming Laptop
shortlist_historical,RTX 50,3640.74,MANUAL_REVIEW,0,"Acer Predator Helios Neo 18 AI - 18.0"" Intel Core Ultra 9 275HX - GeForce RTX 50"
shortlist_historical,RTX A4000,1427.73,SKIP,19,Lenovo ThinkPad P15 Gen 2 FHD i7-11800H 2.30GHz 32GB 1TB SSD RTX A4000 Very Good
shortlist_historical,RTX A4500,3728.01,SHORTLIST,43,LENOVO THINKPAD P16 | CORE i9 | RTX A4500 GFX | 64GB | 2TB | 3840x2400 | WRNTY
shortlist_historical,RTX 4080,2974.7,MANUAL_REVIEW,41,"ASUS ROG Zephyrus duo 16"" QHD 240Hz Gaming Laptop Ryzen 9 32GB 1TB SSD RTX 4080"
shortlist_historical,RTX 5080,4799.0,SHORTLIST,56,"HP OMEN MAX Gaming Laptop16"" OLED Ultra 9 275HX 32GB 1TB SSD RTX5080"
shortlist_historical,RTX 5070,3551.0,SHORTLIST,56,"Acer Predator Helios Neo 18 "" 250hz U9 16gb Ddr5 1tb SSD RTX 5070 8gb W11 Pro _"
shortlist_historical,RTX 5080,4170.7,SHORTLIST,56,MSI Vector 18 HX AI 18in 240Hz Ultra 9 275HX RTX 5080 1TB SSD 32gb DDR5
shortlist_historical,RTX 3500 Ada,3331.39,MANUAL_REVIEW,44,"Dell Precision 7780 17.3"" i9-13950HX 2.2GHz 64GB RAM 1TB SSD RTX 3500 Ada"
shortlist_historical,RTX 5070,2823.75,SHORTLIST,56,Acer Predator Triton 14 AI 14 120Hz TOUCH 3.3GHz Ultra 9 288V 32GB 2TB RTX 5070
shortlist_historical,RTX 4060,2611.55,SKIP,16,"Asus GX650PV ROG Zephyrus Duo16 R9 7945HX 32GB RAM 1TB SSD RTX4060 16"" + 14"" W11"
shortlist_historical,RTX 4090,3026.7,SHORTLIST,51,Razer Blade 18 i9 14900HX RTX 4090 32GB 2TB QHD 300Hz Mini LED Gaming Laptop
shortlist_historical,RTX 5070,2853.2,SHORTLIST,56,"ASUS TUF Gaming A18 FA808UP-S8017 / FreeDOS 18"" RTX5070 AMD 7 260 16GB/512GB"
shortlist_historical,RTX 5090,8317.07,SHORTLIST,71,"Predator Helios 18 AI Gaming Laptop CU9 275HX 192 GB 5 TB SSD RTX 5090 18"" W 11"
shortlist_historical,—,1562.99,SKIP,0,ASUS ExpertBook 14 14' FHD Notebook AMD Ryzen 5 150 DDR5 16GB 512GB SSD Win11
shortlist_historical,RTX A3000,1249.0,MANUAL_REVIEW,33,"Dell Precision 7670 Intel i7 12850HX 4.80GHz 32GB RAM 1TB SSD RTX A3000 16"" Win"
shortlist_historical,RTX 4060,3576.71,SKIP,16,"ASUS ROG Strix G18 18"" i9-13980HX RTX4060 16GB/512GB Gaming Laptop / G814JV-N602"
shortlist_historical,—,2900.0,MANUAL_REVIEW,0,"13th gen i7 HP Zbook Studio G10 16"" WUXGA Laptop, i7-13700H, 32GB RAM, 1TB SSD,"
shortlist_historical,RTX A2000,1349.1,SKIP,1,"DELL PRECISION 5570 15.6"" 4K TOUCH, i9 12900H 32GB 1TB SSD RTX A2000 8GB WIN 11"
shortlist_historical,—,8663.94,MANUAL_REVIEW,0,MSI Titan 18 HX Dragon Edition Norse Myth
shortlist_historical,RTX 5090,5480.24,MANUAL_REVIEW,65,MSI TITAN 18 HX 5090 6TB w/2 chargers and a extra storage drive w/gaming mouse
shortlist_historical,RTX 5070,2451.69,SHORTLIST,56,Acer Predator Triton 14 AI Gaming Laptop Touch Ultra 9 32GB RAM 2TB SSD RTX 5070
shortlist_historical,RTX 5000,3488.46,SHORTLIST,26,"Dell Precision 7750 17"" FHD Xeon W-10885 2.4GHz 128GB 2TB RTX 5000 W11P"
shortlist_historical,RTX A4500,1743.43,SHORTLIST,46,"HP ZBook Fury 16 G9 - 16"" FHD+, i9 12950HX, RTX A4500 16GB, 32GB RAM, 1TB SSD"
shortlist_historical,RTX A4000,1899.99,SKIP,13,"Dell Precision 7560 15"" Touch Laptop i7-11850H 8-Cores 32GB 8GB RTX A4000 Mobile"
shortlist_historical,RTX 5000,1900.0,SHORTLIST,26,Dell Precision 7550 Laptop | Intel Xeon W10855M CPU| 64GB| 1.5TB |16 GB RTX 5000
shortlist_historical,RTX 3080 Ti,1733.89,SHORTLIST,43,Alienware X15 R2 i9 12900H RTX 3080 Ti 32GB 2TB QHD 240Hz Laptop AZERTY seedesc*
shortlist_historical,RTX 5070,3710.55,MANUAL_REVIEW,47,"ASUS ROG Strix Scar 18 (2025) Gaming Laptop, 18” ROG Nebula HDR 16:10, RTX 5070"
shortlist_historical,RTX 5070 Ti,4050.22,MANUAL_REVIEW,41,ACER PREDATOR HELIOS NEO 18 AI ULTRA 9 275HX RTX5070TI 64GB RAM 2TB SSD £2999rrp
shortlist_historical,RTX 500 Ada,4499.0,SKIP,16,"HP ZBook 8 G1i 16"" UWVA Touch Ultra 7 255H RTX 500 Ada 1TB SSD WUXGA 32GB Laptop"
shortlist_historical,RTX 4080,2696.84,MANUAL_REVIEW,41,"MSI Raider 18 HX Gaming Laptop Intel Core i9-14900HX RTX 4080 32GB 1TB 18"" W11H"
shortlist_historical,—,2299.0,MANUAL_REVIEW,0,"Razer Blade Pro 17 17.3"" Intel Core i7-10875H Gaming Laptop"
shortlist_historical,RTX 4090,2714.7,MANUAL_REVIEW,42,ROG Strix RTX 4090 18inch Laptop
